1 1 astr hamm 1 2 4 1 0.0
1 1 astr manh 1 2 4 1 0.403
1 1 bfs drlu 1 2 4 1 0.0
1 1 bfs drul 1 2 4 1 0.0
1 1 bfs ludr 1 4 9 1 0.0
1 1 bfs lurd 1 4 9 1 0.0
1 1 bfs rdlu 1 2 4 1 0.0
1 1 bfs rdul 1 2 4 1 0.0
1 1 bfs uldr 1 4 9 1 0.0
1 1 bfs ulrd 1 4 9 1 0.0
1 1 dfs drlu 1 2 2 1 0.0
1 1 dfs drul 1 2 2 1 0.0
1 1 dfs ludr 17 71776 71776 20 800.854
1 1 dfs lurd 19 107551 107551 20 1294.521
1 1 dfs rdlu 1 2 2 1 0.0
1 1 dfs rdul 1 2 2 1 0.0
1 1 dfs uldr 19 119819 119819 20 1598.255
1 1 dfs ulrd 19 71703 71703 20 733.513
1 2 astr hamm 1 2 4 1 0.0
1 2 astr manh 1 2 4 1 0.997
1 2 bfs drlu 1 2 4 1 0.0
1 2 bfs drul 1 2 4 1 0.0
1 2 bfs ludr 1 4 9 1 0.0
1 2 bfs lurd 1 4 9 1 0.0
1 2 bfs rdlu 1 2 4 1 0.997
1 2 bfs rdul 1 2 4 1 0.0
1 2 bfs uldr 1 4 9 1 0.0
1 2 bfs ulrd 1 4 9 1 0.0
1 2 dfs drlu 1 2 2 1 0.0
1 2 dfs drul 1 2 2 1 0.0
1 2 dfs ludr 19 71703 71703 20 788.019
1 2 dfs lurd 19 119819 119819 20 1615.074
1 2 dfs rdlu 1 2 2 1 0.0
1 2 dfs rdul 1 2 2 1 0.0
1 2 dfs uldr 19 107551 107551 20 1280.597
1 2 dfs ulrd 17 71776 71776 20 779.574
2 1 astr hamm 2 3 6 2 0.0
2 1 astr manh 2 3 6 2 0.0
2 1 bfs drlu 2 5 10 2 0.0
2 1 bfs drul 2 5 10 2 0.0
2 1 bfs ludr 2 10 23 2 0.0
2 1 bfs lurd 2 10 23 2 0.998
2 1 bfs rdlu 2 5 10 2 0.0
2 1 bfs rdul 2 5 10 2 0.0
2 1 bfs uldr 2 10 23 2 0.0
2 1 bfs ulrd 2 10 23 2 0.0
2 1 dfs drlu 2 3 3 2 0.0
2 1 dfs drul 2 3 3 2 0.0
2 1 dfs ludr 18 139 139 20 0.997
2 1 dfs lurd 18 37039 37039 20 347.192
2 1 dfs rdlu 2 3 3 2 0.0
2 1 dfs rdul 2 3 3 2 0.0
2 1 dfs uldr 18 255256 255256 20 3537.515
2 1 dfs ulrd 18 152839 152839 20 2085.72
2 2 astr hamm 2 3 7 2 0.0
2 2 astr manh 2 3 7 2 0.0
2 2 bfs drlu 2 8 18 2 0.0
2 2 bfs drul 2 8 18 2 0.0
2 2 bfs ludr 2 15 34 2 0.0
2 2 bfs lurd 2 13 31 2 0.998
